	image	clusterid	Morph	BinaryType	KmeansX	KmeansY
53	KIC06197319_morp0.93.png	3	0.93	Ellipsoidal	-78.11095399540896	-31.4595061969697
54	KIC08958670_morp0.92.png	3	0.92	Ellipsoidal	-78.9475392704769	-27.325885393202213
55	KIC04253860_morp-1.0.png	2	-1.0	Detached	-2.7481276112098927	-24.347758182107498
56	KIC03662635_morp0.57.png	1	0.57	SemiDetached	-32.52473171711653	63.80281850160921
57	KIC06048024_morp0.0.png	0	0.0	Detached	93.80445433668312	6.601790231740666
58	KIC04940438_morp0.08.png	2	0.08	Detached	55.64751791957582	27.048105163275324
59	KIC05872506_morp0.78.png	3	0.78	OverContact	-52.55100199909416	18.858459302519535
60	KIC08111381_morp0.36.png	2	0.36	Detached	62.49623984834905	69.73691380153166
61	KIC08108785_morp0.76.png	3	0.76	OverContact	-107.40336854252796	-15.343605551987217
62	KIC07680593_morp0.97.png	3	0.97	Ellipsoidal	-73.79331946952033	-36.455255125205035
63	KIC09991887_morp0.88.png	3	0.88	Ellipsoidal	-83.13102428929874	-26.42770221113136
64	KIC02860788_morp0.37.png	2	0.37	Detached	28.371105242398592	-5.558704266400229
65	KIC10905804_morp0.68.png	3	0.68	SemiDetached	-87.69498297140298	35.12712201984196
66	KIC08059303_morp0.86.png	3	0.86	Ellipsoidal	-97.64580719750015	-33.491262795044705
67	KIC09886224_morp0.23.png	0	0.23	Detached	103.16194638289467	19.77453446688904
68	KIC08106973_morp0.0.png	0	0.0	Detached	59.16084196187581	-8.414784423538467
69	KIC05786545_morp0.75.png	3	0.75	OverContact	-106.0391808230737	-22.031748629378647
70	KIC08301013_morp0.38.png	2	0.38	Detached	25.83164943264136	-14.162970029565614
71	KIC08244173_morp0.38.png	2	0.38	Detached	18.939076160377134	29.568143525305707
72	KIC08222813_morp0.12.png	2	0.12	Detached	76.79554909448386	33.769886350616986
73	KIC10686876_morp0.45.png	1	0.45	SemiDetached	33.254271073165114	76.26834500242843
74	KIC03749508_morp0.52.png	1	0.52	SemiDetached	-14.589504416456668	68.36805565038418
75	KIC12251650_morp0.03.png	0	0.03	Detached	90.63408636767092	-41.104316090249675
76	KIC05077994_morp0.67.png	3	0.67	SemiDetached	-85.40107886224733	15.8247012990953
77	KIC10338279_morp0.05.png	0	0.05	Detached	79.22052870854743	8.500578570855685
78	KIC08381592_morp0.17.png	0	0.17	Detached	49.92057713549549	-51.13516101802653
79	KIC02719436_morp0.68.png	3	0.68	SemiDetached	-80.1750773948258	39.572506265176756
80	KIC04945035_morp0.5.png	1	0.5	SemiDetached	5.6435718682445275	55.476833867477275
81	KIC09970396_morp0.09.png	0	0.09	Detached	104.71659026857355	-4.499448685691604
82	KIC09214712_morp0.0.png	0	0.0	Detached	105.60049361850612	-25.73257055594469
83	KIC05703230_morp0.93.png	3	0.93	Ellipsoidal	-82.29135180868325	-34.457986795065246
84	KIC05196301_morp0.94.png	3	0.94	Ellipsoidal	-63.14484473229787	-22.463513524073623
85	KIC05956588_morp0.83.png	3	0.83	Ellipsoidal	-91.84459272667053	-23.357785222415128
86	KIC05357882_morp0.98.png	3	0.98	Ellipsoidal	-71.74819349960441	-27.718230062008853
87	KIC04037428_morp0.14.png	0	0.14	Detached	76.94203936611792	-36.18810420952456
88	KIC03353233_morp0.75.png	3	0.75	OverContact	-102.99530702358442	-16.70049813708276
89	KIC08912468_morp0.98.png	3	0.98	Ellipsoidal	-51.3181063139906	-19.870627231080007
90	KIC02831097_morp0.79.png	3	0.79	OverContact	-51.85156906415492	1.1877572437464128
91	KIC12602985_morp0.88.png	3	0.88	Ellipsoidal	-86.60141769815156	-18.487518793684075
92	KIC03115480_morp0.28.png	0	0.28	Detached	51.56386283985991	-12.592685342294715
93	KIC11819135_morp0.57.png	1	0.57	SemiDetached	-41.968911895062845	54.3698821378352
94	KIC04739194_morp0.56.png	1	0.56	SemiDetached	-10.89239002526369	119.54155253877043
95	KIC09016295_morp0.05.png	0	0.05	Detached	96.45726799187698	-50.78883379859611
96	KIC08587792_morp0.77.png	3	0.77	OverContact	-98.39134548975669	-29.044985859208452
97	KIC10291683_morp0.91.png	3	0.91	Ellipsoidal	-81.22249457477253	-28.913906886403293
98	KIC08906676_morp0.95.png	0	0.95	Ellipsoidal	60.20225371460877	-55.06980050275295
99	KIC03557421_morp0.7.png	3	0.7	SemiDetached	-103.10944092405535	0.04130483391364317
100	KIC05217586_morp0.08.png	2	0.08	Detached	50.027854868460395	6.5502079420816886
101	KIC06044064_morp0.54.png	1	0.54	SemiDetached	3.239895173453267	99.36926494959847
102	KIC10874926_morp0.04.png	0	0.04	Detached	105.61714033078034	-2.0084312218928897
103	KIC07552344_morp0.27.png	2	0.27	Detached	66.51335651929278	24.998871163586838
104	KIC04055765_morp0.1.png	2	0.1	Detached	59.07466157938587	6.00815966400897
105	KIC09761882_morp0.06.png	2	0.06	Detached	27.19022823122849	-12.849007507874994
106	KIC10549576_morp0.2.png	0	0.2	Detached	91.72329954136131	4.179840139412983
107	KIC08016211_morp0.53.png	2	0.53	SemiDetached	52.866748005928244	38.661497312707425
108	KIC04737267_morp0.33.png	2	0.33	Detached	82.59041389372855	27.247830727854726
109	KIC06634112_morp0.07.png	0	0.07	Detached	95.55235501572592	-52.77018598259107
110	KIC11303811_morp0.85.png	3	0.85	Ellipsoidal	-61.934463199401115	-16.642298776716608
111	KIC09032900_morp0.22.png	0	0.22	Detached	107.214228774872	28.02900008197593
112	KIC10322582_morp0.88.png	3	0.88	Ellipsoidal	-99.72959071092468	-34.18515317060043
113	KIC02719873_morp0.07.png	0	0.07	Detached	80.54752801417081	-66.44649131723168
114	KIC12305537_morp0.77.png	3	0.77	OverContact	-102.35513274972864	-27.99891637567505
115	KIC09344623_morp0.15.png	0	0.15	Detached	31.771335481720953	-48.56223299401139
116	KIC08760135_morp0.01.png	0	0.01	Detached	47.07535175456697	-58.06458079728408
117	KIC08129189_morp0.09.png	0	0.09	Detached	88.61914474423831	-56.34176172937184
118	KIC10877703_morp0.8.png	3	0.8	OverContact	-95.98906008546966	-34.7915750511914
119	KIC10798838_morp0.01.png	0	0.01	Detached	93.4281178890889	-50.13527862281749
120	KIC08211824_morp0.59.png	1	0.59	SemiDetached	-28.35258970371864	61.226426621256195
121	KIC05211385_morp0.9.png	3	0.9	Ellipsoidal	-77.65943690403172	-30.226754017190263
122	KIC04459068_morp-1.0.png	0	-1.0	Detached	107.08568475314009	-24.860588018158957
123	KIC06058875_morp0.51.png	2	0.51	SemiDetached	20.781543614227505	39.63272809238134
124	KIC07289157_morp0.37.png	0	0.37	Detached	82.22846226169743	-1.240712109285052
125	KIC05199489_morp0.84.png	3	0.84	Ellipsoidal	-89.99329238294513	-34.08203291026121
126	KIC08190491_morp0.95.png	3	0.95	Ellipsoidal	-60.026626977124714	-7.5315523831736275
127	KIC07919653_morp0.38.png	2	0.38	Detached	33.10989643613003	24.09890116411569
128	KIC10345862_morp0.09.png	0	0.09	Detached	83.87481078584162	-33.63260377745223
129	KIC04736208_morp0.08.png	0	0.08	Detached	35.57684407798056	-56.892268048422366
130	KIC09833806_morp0.66.png	3	0.66	SemiDetached	-86.8769025430227	17.712543410122684
131	KIC10611450_morp-1.0.png	3	-1.0	Detached	-26.348496783565132	-26.791673629283576
132	KIC08027591_morp-1.0.png	3	-1.0	Detached	-28.957493128965847	-27.09823520713381
133	KIC01161345_morp0.24.png	2	0.24	Detached	60.934027589824005	17.567267477960744
134	KIC03534118_morp0.0.png	0	0.0	Detached	90.14535321321914	-34.95913416279141
135	KIC09108058_morp0.56.png	1	0.56	SemiDetached	13.614865547985998	89.035660733348
136	KIC05014753_morp0.24.png	2	0.24	Detached	99.25443820994523	34.7228281435646
137	KIC06694186_morp0.24.png	0	0.24	Detached	78.0923135124947	9.216573410641539
138	KIC05310435_morp0.53.png	1	0.53	SemiDetached	-13.27653952209712	102.43045817721959
139	KIC05623774_morp0.53.png	2	0.53	SemiDetached	14.309006256920632	3.495175091793352
140	KIC08428136_morp0.85.png	3	0.85	Ellipsoidal	-88.4930504788299	-34.40792656573811
141	KIC11820830_morp0.08.png	0	0.08	Detached	83.5993212092835	11.20817002496769
142	KIC12645761_morp0.36.png	2	0.36	Detached	61.8864935808154	8.234763734330446
143	KIC06964796_morp0.97.png	3	0.97	Ellipsoidal	-75.47754357708588	-36.66165299549663
144	KIC05444392_morp0.58.png	2	0.58	SemiDetached	4.1289673490021235	43.94522524472985
145	KIC07622059_morp-1.0.png	2	-1.0	Detached	9.869290276282781	45.59211193746835
146	KIC08360184_morp0.81.png	3	0.81	Ellipsoidal	-77.47105758580203	-4.723846010595866
147	KIC07748113_morp0.82.png	3	0.82	Ellipsoidal	-70.10940735208025	20.60698642026923
148	KIC10342041_morp0.6.png	1	0.6	SemiDetached	-29.91132093952202	66.50456004575774
149	KIC11774013_morp-1.0.png	3	-1.0	Detached	-39.27154218430466	-9.963624214721136
150	KIC06131659_morp0.09.png	0	0.09	Detached	41.6625948484492	-61.5026043476989
151	KIC07118621_morp0.74.png	3	0.74	OverContact	-101.7624961341304	-21.932800525220614
152	KIC06545018_morp0.42.png	2	0.42	SemiDetached	13.088993830747391	13.205864622396158
153	KIC08022489_morp0.01.png	2	0.01	Detached	45.73146500164735	4.305430519586301
154	KIC02854752_morp0.79.png	3	0.79	OverContact	-55.9083870242449	21.142205659614753
155	KIC07884842_morp0.78.png	3	0.78	OverContact	-74.30374446573622	17.03171718894413
156	KIC04276114_morp0.17.png	0	0.17	Detached	84.43683767080168	1.1776463856109451
157	KIC11703960_morp0.93.png	3	0.93	Ellipsoidal	-74.98835223454871	-37.25154295208348
158	KIC06775985_morp0.03.png	0	0.03	Detached	101.26304324547445	18.53197882341687
159	KIC08044608_morp0.01.png	0	0.01	Detached	71.32197776303107	-51.33095942731181
160	KIC11147276_morp0.31.png	2	0.31	Detached	45.81818402165024	13.966749753975959
161	KIC09711751_morp0.49.png	2	0.49	SemiDetached	23.99493270568685	56.211561180855604
162	KIC11923819_morp0.07.png	0	0.07	Detached	53.91796784345008	-45.34532635606761
163	KIC11649962_morp-1.0.png	3	-1.0	Detached	-16.775288542695737	-13.721669741943868
164	KIC10987439_morp0.1.png	0	0.1	Detached	65.2756324637376	-66.02816834646588
165	KIC11175495_morp0.66.png	1	0.66	SemiDetached	-34.84506580846756	65.14918191116014
166	KIC09418994_morp0.03.png	0	0.03	Detached	79.50920402699413	-47.9684200018657
167	KIC04751083_morp0.22.png	0	0.22	Detached	93.63269031039462	20.32801292887942
168	KIC07270230_morp0.07.png	0	0.07	Detached	101.81000096060271	-22.105966510003512
169	KIC06365321_morp0.44.png	1	0.44	SemiDetached	38.151697122780945	79.61803320464023
170	KIC10489539_morp0.28.png	2	0.28	Detached	-0.6238284375389567	-21.499392440306874
171	KIC06756669_morp0.16.png	0	0.16	Detached	82.16290350677858	-18.812628841401217
172	KIC04852055_morp0.96.png	3	0.96	Ellipsoidal	-40.47594136746938	-17.114798510441158
173	KIC02446623_morp0.0.png	0	0.0	Detached	116.83199907429773	13.752084274992912
