in_catalog,tic__tess_id,date_added,date_modified,sectors,tic__ra,tic__dec,tic__Tmag,tic__glat,tic__glon,tic__pmra,tic__pmdec,bjd0,bjd0_uncert,period,period_uncert,morph_coeff,tic__teff,tic__logg,tic__abun,source,flags
True, 0008677671, 2020-07-28 16:49:02, , 21, 137.452513, 30.426895, 10.02, 195.161564, 41.806960, -15.8161, -14.4425, 1871.454057, 0.000265, 1.1159766, 0.0000055, 0.564, 6644, 4.13, -0.24, LCF, ,
True, 0008766412, 2020-07-28 16:49:03, , 21, 139.990995, 30.956646, 9.20, 194.961398, 44.048382, -16.1083, -6.75578, 1872.532706, 0.048372, 2.3193330, 0.0001726, 0.909, 6224, 3.69, -0.03, LCF, ,
True, 0008769657, 2020-07-28 16:49:20, , 21, 140.368119, 33.432963, 12.89, 191.590916, 44.705186, -33.6968, -28.8616, 1870.514880, 0.000419, 0.4264695, 0.0000064, 0.574, 3474, 4.64, , LCF, ,
True, 0008895896, 2020-07-28 16:48:11, , 19, 66.989391, 56.562244, 11.63, 149.577915, 5.345180, -2.04519, -2.02084, 1818.457581, 0.012695, 12.8580885, 0.0040112, 0.198, 6812, 3.86, , LCF, ,
True, 0008989778, 2020-07-28 18:39:43, , 2, 354.817359, -9.151459, 10.95, 76.067665, -65.227283, 4.94716, -1.48336, 1354.732595, 0.000829, 0.6127979, 0.0000006, 0.791, 7610, 4.07, , LCF, ,
True, 0009033144, 2020-07-28 18:39:43, , 2;29, 349.606182, -19.823916, 9.74, 46.887452, -67.499174, 18.43, 16.9426, 1557.028333, 0.000647, 14.1451608, 0.0000947, 0.122, 5954, 4.32, -0.21, LCF, ,
True, 0009036901, 2020-07-28 16:50:38, , 23;24, 221.822627, 31.841035, 11.60, 50.546125, 64.430165, 6.02955, -12.0742, 1930.550945, 0.000268, 3.4130085, 0.0000509, 0.599, 6104, 3.43, , LCF, ,
True, 0009054370, 2020-07-28 17:15:28, , 2;29, 356.161902, -8.848792, 7.62, 78.996797, -65.847266, 49.7041, -0.799723, 1357.135305, 0.005069, 3.1899595, 0.0000186, 0.290, 6416, 4.08, , LCF, ,
True, 0009058724, 2020-07-28 16:50:30, , 23, 222.129186, 35.055018, 10.01, 57.806246, 63.822316, -64.2995, 61.1068, 1934.712606, 0.000162, 3.5605419, 0.0000428, 0.442, 5412, 4.10, , LCF, ,
True, 0009070070, 2021-02-23 2:47:52, , 2, 356.826440, -8.086694, 10.17, 81.396945, -65.645049, None, None, 1354.608867, 0.000017, 0.4814247, 0.0000019, 0.831, 6602, 4.06, , LCF, ,
True, 0009172417, 2020-07-28 18:40:54, , 5, 62.057489, -5.756600, 11.85, 197.550526, -38.635485, 84.91, -133.83, 1438.039329, 0.000039, 0.2451915, 0.0000006, 0.655, 3551, 4.68, , LCF, ,
True, 0009209932, 2020-07-28 17:15:34, , 2, 352.503652, -18.692869, 9.37, 52.899940, -69.477465, -8.26918, -12.56, 1354.712968, 0.145266, 3.5225329, 0.0010700, 0.450, 6533, 3.37, , LCF, ,
True, 0009361438, 2020-07-28 16:49:00, , 21, 150.603494, 36.073844, 9.93, 188.120686, 53.217497, 1.19431, -1.7796, 1875.749082, 0.000072, 8.6077407, 0.0001597, 0.140, 5858, 4.26, , LCF, ,
True, 0009380768, 2020-07-28 17:18:53, , 5, 73.268448, -7.006529, 10.51, 205.347336, -29.460361, 13.8993, -30.4502, 1439.531668, 0.000318, 1.6222184, 0.0000150, 0.459, 4756, 4.24, , LCF, ,
True, 0009381557, 2020-07-28 17:18:50, , 5, 73.381302, -6.695798, 11.82, 205.089743, -29.218111, 5.7101, -8.50569, 1446.448142, 0.000394, 11.8221481, 0.0005471, 0.480, 5190, , , LCF, ,
True, 0009391285, 2020-07-28 16:50:19, , 22, 167.612203, 36.545486, 10.42, 182.834328, 66.667619, -3.3, -33.3, 1902.102903, 0.000239, 2.7525411, 0.0000100, 0.303, 5971, , -0.13, LCF, ,
True, 0009433212, 2020-07-28 17:18:58, , 5;32, 73.546816, -9.498161, 11.69, 208.059235, -30.330514, 9.59183, -16.9722, 1440.155582, 0.000366, 5.0134480, 0.0000020, 0.200, 5878, 4.17, , LCF, ,
True, 0009461737, 2020-07-28 16:50:11, , 22, 183.226169, 36.561613, 15.50, 161.417704, 77.526681, -11.0374, -12.4343, 1900.629627, 0.000850, 0.6369756, 0.0000358, 0.574, 7621, 4.52, , LCF, ,
True, 0009473243, 2021-02-23 2:58:08, , 25;26, 258.397358, 30.710012, 10.56, 53.404559, 33.347937, None, None, 1989.388849, 0.000303, 2.2669595, 0.0000148, 0.536, 7093, 4.02, , LCF, ,
True, 0009727392, 2020-07-28 18:39:44, , 2;29, 358.444731, -10.884973, 11.29, 80.307353, -68.838906, 0.798947, 3.35511, 1355.324723, 0.001011, 4.5345679, 0.0000040, 0.376, 6422, 4.09, -0.31, LCF, ,
True, 0009825731, 2021-02-23 2:58:09, , 25;26, 260.933226, 31.298585, 11.14, 54.720278, 31.389407, None, None, 1987.446729, 0.000029, 0.5907443, 0.0000011, 0.700, 7068, 4.05, , LCF, ,
True, 0009845586, 2020-07-28 18:40:27, , 4, 48.216508, -7.738929, 11.70, 189.488288, -51.318476, -13.596, -13.8541, 1410.776879, 0.000017, 0.3601126, 0.0000197, 0.719, 5755, 4.22, -0.01, LCF, ,
