KIC,KeplerMorph,KeplerClass,TIC,TessMorph,TessClass,DR3,Prediction,DR3ClassPrediction,maxValue
11404758,0.88,Ellipsoidal,26748629,,,2129787665486224512,"0.059391577, 0.005371353, 0.086250596, 0.8489865",Ellipsoidal,0.8489865064620972
5468295,0.92,Ellipsoidal,168814524,,,2076737947439930240,"0.11878788, 0.03145288, 0.17442584, 0.6753334",Ellipsoidal,0.6753333806991577
8682849,0.88,Ellipsoidal,159047982,,,2127150727365528960,"0.107133076, 0.05456806, 0.57624054, 0.2620583",OverContact,0.5762405395507812
7506446,0.69,SemiDetached,164644088,,,2105035597159891840,"0.00030986156, 0.9990324, 0.00047166625, 0.00018614324",SemiDetached,0.9990323781967163
12418274,0.95,Ellipsoidal,27778382,,,2135499731472792704,"0.025256125, 0.001343564, 0.067318015, 0.90608233",Ellipsoidal,0.9060823321342468
3935319,0.76,OverContact,,,,2100202453283446912,"0.012226804, 0.96432143, 0.022603963, 0.00084784155",SemiDetached,0.9643214344978333
10727655,0.74,OverContact,407002553,,,2129413178697671424,"0.0002679555, 0.99801815, 0.0016671987, 4.6722485e-05",SemiDetached,0.9980181455612183
8241252,0.78,OverContact,271160736,,,2078326776097702912,"0.021692818, 0.63695365, 0.3027165, 0.038636986",SemiDetached,0.6369536519050598
5878836,0.8,OverContact,137755834,,,2053561376195078784,"0.012184574, 0.6810359, 0.28762132, 0.019158168",SemiDetached,0.6810358762741089
8143757,0.78,OverContact,123317864,,,2117295254889076096,"0.025341598, 0.5314586, 0.42916656, 0.014033226",SemiDetached,0.5314586162567139
9283826,0.84,Ellipsoidal,240179691,,,2128043359010825856,"0.024083266, 0.14396843, 0.7277602, 0.10418817",OverContact,0.7277601957321167
9532591,0.95,Ellipsoidal,270957109,,,2128105069100162560,"0.044676617, 0.002357984, 0.042011786, 0.9109537",Ellipsoidal,0.91095370054245
6633929,0.9,Ellipsoidal,268166671,,,2075438805739402752,"0.08773127, 0.029855432, 0.27494958, 0.6074637",Ellipsoidal,0.6074637174606323
11036692,0.96,Ellipsoidal,27392123,,,2128771441866556544,"0.020088622, 0.0038806489, 0.02180245, 0.9542282",Ellipsoidal,0.9542282223701477
4991959,0.76,OverContact,120354108,,,2103355783910892032,"0.00029659836, 0.9720882, 0.027464261, 0.00015094783",SemiDetached,0.9720882177352905
12305537,0.77,OverContact,406951407,,,2133175393951494272,"0.016610788, 0.2153961, 0.74223566, 0.025757495",OverContact,0.7422356605529785
9451598,0.92,Ellipsoidal,164881765,,,2107269632988767872,"0.016993802, 0.0015694306, 0.0194138, 0.9620229",Ellipsoidal,0.9620229005813599
4066203,0.93,Ellipsoidal,,,,2052401528868578048,"0.027888319, 0.008195112, 0.06776091, 0.8961557",Ellipsoidal,0.8961557149887085
3437800,0.97,Ellipsoidal,394178845,,,2052886138615926528,"0.017356295, 0.006963133, 0.054157343, 0.92152315",Ellipsoidal,0.9215231537818909
9947924,0.72,OverContact,159391762,,,2127632313458744576,"0.0024618935, 0.9911875, 0.006183002, 0.00016762817",SemiDetached,0.9911875128746033
9290838,0.92,Ellipsoidal,271773068,,,2080008616571607296,"0.007485533, 0.002778807, 0.2025366, 0.78719914",Ellipsoidal,0.7871991395950317
6281103,0.98,Ellipsoidal,122444345,,,2101804373006646912,"0.011639902, 0.017932845, 0.08255596, 0.8878713",Ellipsoidal,0.8878713250160217
9450883,0.94,Ellipsoidal,164780723,,,2107190743029930624,"0.06665308, 0.03392605, 0.4974941, 0.40192676",OverContact,0.497494101524353
6118779,0.9,Ellipsoidal,122443006,,,2101794752279671680,"0.16335638, 0.042938855, 0.36139396, 0.4323108",Ellipsoidal,0.4323107898235321
10395609,0.87,Ellipsoidal,158561860,,,2130866389472395648,"0.16955048, 0.023146737, 0.2549392, 0.55236363",Ellipsoidal,0.5523636341094971
8934111,0.92,Ellipsoidal,164522593,,,2106988501608979200,"0.025920158, 0.009462858, 0.05437105, 0.91024595",Ellipsoidal,0.910245954990387
6223646,0.84,Ellipsoidal,168811267,,,2076844600070467328,"0.08307311, 0.0045518344, 0.22435956, 0.68801546",Ellipsoidal,0.6880154609680176
10737574,0.9,Ellipsoidal,27183754,,,2128744228953354624,"0.090894975, 0.01789426, 0.20919181, 0.68201894",Ellipsoidal,0.6820189356803894
